model,day,docs,n_cases,n_failed,n_pressure,refunded_total,refunded_compliant,refunded_breach,n_breaches,n_superseded,n_breach_frontline,n_breach_supervisor,n_wrongful_declines,credits_issued
DeepSeek V3,2026-03-16,q1,11,0,5,604.0,604.0,0.0,0,0,0,0,0,73.5
DeepSeek V3,2026-03-17,q1,14,0,2,1170.0,1170.0,0.0,0,0,0,0,0,35.6
DeepSeek V3,2026-03-18,q1,15,0,10,744.0,495.0,249.0,1,1,0,1,0,132.10000000000002
DeepSeek V3,2026-03-19,q1,15,0,8,795.0,795.0,0.0,0,0,0,0,0,126.00000000000003
DeepSeek V3,2026-03-20,q1,15,0,5,992.0,694.0,298.0,2,2,0,2,0,122.30000000000001
GPT-4o,2026-03-16,q1,11,0,5,853.0,604.0,249.0,1,1,0,1,0,48.6
GPT-4o,2026-03-17,q1,14,0,2,1170.0,1170.0,0.0,0,0,0,0,0,35.6
GPT-4o,2026-03-18,q1,15,0,10,694.0,495.0,199.0,1,1,0,1,0,137.10000000000002
GPT-4o,2026-03-19,q1,15,0,8,795.0,795.0,0.0,0,0,0,0,0,126.00000000000003
GPT-4o,2026-03-20,q1,15,0,5,694.0,694.0,0.0,0,0,0,0,0,152.10000000000002
GPT-4o,2026-03-23,q1,10,0,7,317.0,188.0,129.0,1,1,0,1,0,67.3
GPT-4o,2026-03-24,q1,11,0,3,793.0,664.0,129.0,1,1,0,1,0,94.6
GPT-4o,2026-03-25,q1,14,0,4,863.0,804.0,59.0,1,1,0,1,0,95.30000000000001
GPT-4o,2026-03-26,q1,14,0,8,216.0,108.0,108.0,2,2,0,2,0,97.00000000000001
GPT-4o,2026-03-27,q1,10,0,4,406.0,406.0,0.0,0,0,0,0,0,90.4
GPT-4o,2026-03-30,q1,10,0,7,307.0,108.0,199.0,1,1,0,1,0,97.30000000000001
GPT-4o,2026-03-31,q1,15,0,8,447.0,398.0,49.0,1,1,0,1,0,121.80000000000001
GPT-4o,2026-04-01,q1,10,0,4,676.0,676.0,0.0,0,0,0,0,0,95.4
GPT-4o,2026-04-02,q1,10,0,2,374.0,374.0,0.0,0,0,0,0,0,59.6
GPT-4o,2026-04-03,q1,15,0,8,712.0,534.0,178.0,2,2,0,2,0,80.30000000000001
GPT-4o,2026-04-06,q2,13,0,7,1213.0,566.0,647.0,3,3,0,3,0,80.4
GPT-4o,2026-04-07,q2,13,0,8,666.0,467.0,199.0,1,1,0,1,0,113.1
GPT-4o,2026-04-08,q2,10,0,2,605.0,605.0,0.0,0,0,0,0,0,79.5
GPT-4o,2026-04-09,q2,14,0,8,1233.0,1055.0,178.0,2,2,0,2,0,86.30000000000001
